"data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,preco_atacado,preco_atacado_qtd,preco_promocao,preco_fidelidade"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111111,AÇÚCAR CRISTAL  -( + ) BARATO -5 KG,20.99,0.00,0,18.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111112,AÇÚCAR REFINADO  -( + ) BARATO -1 KG,4.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111113,AÇÚCAR REFINADO -( + ) BARATO -5 KG,20.98,0.00,0,18.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111114,AGUA MINERAL -( + ) BARATO -1,5 LITRO,3.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111115,ARROZ PARBOILIZADO  -( + ) BARATO -1 KG,5.95,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111116,ARROZ PARBOILIZADO -( + ) BARATO -5 KG,23.99,0.00,0,21.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111117,ARROZ POLIDO  -( + ) BARATO -1 KG,6.69,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111118,ARROZ POLIDO -( + ) BARATO -5 KG,24.50,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111134,CAFE VÁCUO  -( + ) BARATO -500 GR,14.98,0.00,0,11.99,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111135,CEREAL ALIMENTAÇÃO INFANTIL SACHÊ  -( + ) BARATO -230 GR,7.69,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111136,COCO RALADO  -( + ) BARATO -50 GR,1.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111138,ERVA MATE  -( + ) BARATO -1 KG,11.50,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111139,ESPECIARIAS CANELA EM PO SACHÊ -( + ) BARATO -30 GR,9.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111142,ESPECIARIAS PIMENTA DO REINO SACHÊ -( + ) BARATO -35 GR,6.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111146,FARINHA DE TRIGO  -( + ) BARATO -1 KG,3.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111147,FARINHA DE TRIGO -( + ) BARATO -5 KG,15.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111149,FEIJÃO CARIOCA -( + ) BARATO -1 KG,5.58,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111150,FEIJÃO PRETO  -( + ) BARATO -1 KG,6.99,0.00,0,5.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111151,FEIJÃO VERMELHO  -( + ) BARATO -1 KG,11.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111152,FERMENTO BIOLÓGICO  -( + ) BARATO -10 GR,1.50,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111155,GELEIA DE FRUTA  -( + ) BARATO -230 GR,9.38,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111156,GOIABADA  -( + ) BARATO -300 GR,4.48,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111159,LEITE DE COCO  -( + ) BARATO -200 ML,2.69,0.00,0,1.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111161,LEITE LONGA VIDA DESNATADO  -( + ) BARATO -1 LITRO,4.49,0.00,0,3.58,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111162,LEITE LONGA VIDA INTEGRAL  -( + ) BARATO -1 LITRO,4.49,0.00,0,3.58,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111173,QUEIJO PARMESÃO RALADO  -( + ) BARATO -50 GR,4.35,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111174,SAL REFINADO  -( + ) BARATO -1 KG,2.25,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,3,333331,AÇÚCAR MASCAVO  -( + ) BARATO -1 KG,12.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,3,333338,POLPA CONGELADA   -( + ) BARATO -100 GR,2.69,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555551,ALMONDEGA BOVINA CONGELADA -( + ) BARATO -1 KG,28.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555554,CARNE BOVINA ALCATRA COM MAMINHA S/ OSSO -( + ) BARATO -1 KG,39.99,0.00,0,33.98,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,5,555555,CARNE BOVINA ALCATRA S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,39.99,0.00,0,33.98,0.00"
